IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ATELIER blanco;/images/venus+/atelier_bianco.jpg;Atelier bianco;730;730;Облицовочная плитка;35901165;1,00;17750;200,00;500,00;15,65;EUR
501;SPOONY stilly;/images/venus+/spoony_stilly_r660.jpg;spoony stilly R660;730;730;Облицовочная плитка;51578965;1,20;17365;200,00;500,00;17,23;EUR
502;SPOONY snug карамель;/images/venus+/spoony_snug_r661.jpg;spoony snug R661;730;730;Облицовочная плитка;36836754;1,20;17365;200,00;500,00;17,23;EUR
503;SPOONY sweet малиновый;/images/venus+/spoony_sweet_r664.jpg;spoony sweet R664;730;730;Облицовочная плитка;36836755;1,20;17365;200,00;500,00;19,65;EUR
504;SPOONY yummi ;/images/venus+/spoony_yummy_r665.jpg;spoony yummy R665;730;730;Облицовочная плитка;;1,20;17365;200,00;500,00;19,65;EUR
505;CUINA (20*50), Inserto 1 шоколадное  печенье;/images/venus+/cuina_1.jpg;CUINA 1;730;730;Декор;38705684;4,00;2350;200,00;500,00;11,38;EUR
506;CUINA (20*50), Inserto 2 сахар. печенье;/images/venus+/cuina_2.jpg;CUINA 2;730;730;Декор;38705686;4,00;2350;200,00;500,00;11,38;EUR
507;CUINA (20*50), Inserto 3 печенье с кремом;/images/venus+/cuina_3.jpg;CUINA 3;730;730;Декор;38708744;4,00;2350;200,00;500,00;11,38;EUR
508;CUINA (20*50), Inserto 4 шотландское печенье;/images/venus+/cuina_4.jpg;CUINA 4;730;730;Декор;38708855;4,00;2350;200,00;500,00;11,38;EUR
509;RUCOLA (20*50), Inserto 1 паста;/images/venus+/rucola_1.jpg;RUCOLA 1;730;730;Декор;38709086;6,00;2350;200,00;500,00;11,38;EUR
510;RUCOLA (20*50), Inserto 2 брюссельская капуста;/images/venus+/rucola_2.jpg;RUCOLA 2;730;730;Декор;38709171;6,00;2350;200,00;500,00;11,38;EUR
511;RUCOLA (20*50), Inserto 3 sweet cherry;/images/venus+/rucola_3.jpg;RUCOLA 3;730;730;Декор;38709338;6,00;2350;200,00;500,00;11,38;EUR
512;RUCOLA (20*50), Inserto 4 фруктовый десерт;/images/venus+/rucola_4.jpg;RUCOLA 4;730;730;Декор;38709339;6,00;2350;200,00;500,00;11,38;EUR
500;SELECTA beige;/images/venus+/selecta_beige_41x41.jpg;SELECTA_BEIGE_41x41;731;731;Напольная плитка;18516388;1,50;19640;410,00;410,00;15,54;EUR
501;SELECTA cuero;/images/venus+/selecta_cuero_41x41.jpg;SELECTA_CUERO_41x41;731;731;Напольная плитка;18516387;1,50;19640;410,00;410,00;15,54;EUR
502;CUBIC marron (8*8) AG833-3183W, Taco;/images/venus+/taco_cubic_marron_8x8.jpg;Taco Cubic marron 8x8;731;731;Бордюр;18620907;57,00;100;80,00;80,00;1,25;EUR
