IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;CHELSEA hueso (моноколор);/images/hispania/chelsea_20x20_hueso.jpg;20x20 hueso;8100;8100;Облицовочная плитка;54417534;1,00;12395;200,00;200,00;12,65;EUR
501;CHELSEA hueso LIS;/images/hispania/chelsea_hueso_lis.jpg;chelsea hueso lis;8100;8100;Облицовочная плитка;54417538;1,00;12395;200,00;200,00;14,60;EUR
502;CHELSEA hueso STRIPES;/images/hispania/chelsea_hueso_stripes.jpg;chelsea hueso stripes;8100;8100;Облицовочная плитка;54417539;1,00;12395;200,00;200,00;14,60;EUR
503;CHELSEA chocolate (моноколор);/images/hispania/20x20_chocolat.jpg;20x20 chocolat;8100;8100;Облицовочная плитка;59684633;1,00;12395;200,00;200,00;15,28;EUR
504;CHELSEA hueso Border (10*20);/images/hispania/chelsea_hueso_border.jpg;chelsea hueso border;8100;8100;Бордюр;54418622;16,00;180;100,00;200,00;4,29;EUR
505;CHELSEA oro abombado Listelo (2*20);/images/hispania/listelo_oro_2.jpg;listelo oro_2;8100;8100;Бордюр;54418547;40,00;80;20,00;200,00;2,49;EUR
506;CHELSEA oro Listelo (1,2*20);/images/hispania/listelo_oro_1.jpg;listelo oro_1;8100;8100;Бордюр;54418396;50,00;50;12,00;200,00;1,46;EUR
507;CHELSEA azul cobalto LIS (Gold);/images/hispania/chelsea_cobalto_lis.jpg;chelsea cobalto lis;8100;8100;Декор;55474902;10,00;496;200,00;200,00;200,00;RUB
508;CHELSEA rojo burdeos LIS (Gold);/images/hispania/chelsea_burdeos_lis.jpg;chelsea burdeos lis;8100;8100;Декор;55474996;10,00;496;200,00;200,00;200,00;RUB
509;CHELSEA verde botella LIS (Gold);/images/hispania/chelsea_botella_lis.jpg;chelsea botella lis;8100;8100;Декор;55474982;10,00;496;200,00;200,00;200,00;RUB
510;RITS hueso FLOR (Gold);/images/hispania/ritz_hueso_flor.jpg;ritz hueso flor;8100;8100;Декор;55474942;10,00;496;200,00;200,00;200,00;RUB
511;RITS chocolate DAMASCO (Gold);/images/hispania/ritz_chocolate_damasco.jpg;ritz chocolate damasco;8100;8100;Декор;55474986;10,00;496;200,00;200,00;200,00;RUB
