IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;CONCEPT blanco brillo;/images/bathroom/ibero/base_blanco.jpg;Base Blanco;1153;1153;Облицовочная;56748602;1,5;19666;250;750;22,93;EUR
501;CONCEPT white;/images/bathroom/ibero/concept_white_.jpg;Concept White ;1153;1153;Облицовочная;56747215;1,31;24460;250;750;25,3;EUR
502;CONCEPT black;/images/bathroom/ibero/concept_black.jpg;Concept Black;1153;1153;Облицовочная;56746619;1,31;24460;250;750;25,3;EUR
503;TAIPEI A Inserto (25*75);/images/bathroom/ibero/decor_taipei_a.jpg;Decor Taipei A;1153;1153;Декор;56749440;6;3510;250;750;19,25;EUR
504;TAIPEI B Inserto (25*75);/images/bathroom/ibero/decor_taipei_b.jpg;Decor Taipei B;1153;1153;Декор;56749449;6;3510;250;750;19,25;EUR
505;TAIPEI C Inserto (25*75);/images/bathroom/ibero/decor_taipei_c.jpg;Decor Taipei C;1153;1153;Декор;56749451;6;3510;250;750;19,25;EUR
506;TAIPEI D Inserto (25*75);/images/bathroom/ibero/decor_taipei_d.jpg;Decor Taipei D;1153;1153;Декор;57018007;6;3510;250;750;19,25;EUR
507;LANDSCAPE A Inserto (25*75);/images/bathroom/ibero/decor_landscape_a.jpg;Decor Landscape A;1153;1153;Декор;63383541;6;3510;250;750;25,69;EUR
508;LANDSCAPE B Inserto (25*75);/images/bathroom/ibero/decor_landscape_b.jpg;Decor Landscape B;1153;1153;Декор;63383542;6;3510;250;750;25,69;EUR
509;CONCEPT white Mosaico (31,6*31,6);/images/bathroom/ibero/mosaico_white.jpg;Mosaico White;1153;1153;Мозаика;61193445;8;1675;316;316;7,43;EUR
510;CONCEPT black Mosaico (31,6*31,6);/images/bathroom/ibero/mosaico_black.jpg;Mosaico Black;1153;1153;Мозаика;61193446;8;1675;316;316;7,43;EUR
511;MOON negro;/images/bathroom/ibero/moon_negro_31x31.jpg;moon_negro_31x31;1153;1153;Напольная;56747640;1;19850;316;316;19,76;EUR
