Номенклатор;Зак. цена;Зак. валюта
IP_PROP14;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
19007883;1.60;EUR
69350608;7.00;EUR
40354193;12.37;EUR
68208840;3.50;EUR
68208588;10.90;EUR
68208589;10.90;EUR
68508128;10.90;EUR
68508129;10.90;EUR
68505898;4.49;EUR
68505907;4.49;EUR
68505915;4.49;EUR
68208911;19.05;EUR
69160527;19.05;EUR
69939089;19.05;EUR
68207530;19.60;EUR
68207545;19.60;EUR
68504668;19.60;EUR
68504669;19.60;EUR
68977852;2.34;EUR
68977850;4.58;EUR
68977715;7.15;EUR
69801533;16.04;EUR
68977695;16.04;EUR
68977870;13.60;EUR
68977854;13.60;EUR
68977858;13.60;EUR
69444774;5.80;EUR
68925584;21.83;EUR
70905361;7.40;EUR
68925582;16.36;EUR
72592738;16.36;EUR
68925579;16.36;EUR
69098736;16.36;EUR
71927983;26.00;EUR
71928008;26.00;EUR
71928015;26.00;EUR
70523099;2.45;EUR
70485296;4.39;EUR
70523111;9.65;EUR
70484247;6.69;EUR
70480100;5.89;EUR
70478663;16.04;EUR
70478899;16.04;EUR
70478255;16.36;EUR
70478254;16.36;EUR
68649358;3.27;EUR
68389080;2.08;EUR
68650639;2.75;EUR
68650630;4.37;EUR
68650628;4.37;EUR
68389083;4.82;EUR
68389084;4.82;EUR
68849504;5.89;EUR
68849505;5.89;EUR
68650634;5.89;EUR
68389268;13.93;EUR
68833425;13.93;EUR
68650557;13.93;EUR
68390474;13.23;EUR
68390473;13.23;EUR
68650626;13.23;EUR
68650624;13.23;EUR
68925639;10.47;EUR
68925636;8.85;EUR
68925629;28.60;EUR
68925632;28.60;EUR
70481200;3.47;EUR
70481227;3.47;EUR
70936310;3.47;EUR
70936312;3.47;EUR
70480040;5.89;EUR
70480056;5.89;EUR
70478907;12.00;EUR
70478906;12.00;EUR
70477756;11.28;EUR
70477751;11.28;EUR
70477872;11.28;EUR
68208993;2.66;EUR
68208990;1.82;EUR
68208985;4.58;EUR
68208988;4.58;EUR
68209006;6.64;EUR
68209406;6.64;EUR
68504823;16.36;EUR
68209452;16.36;EUR
68208977;13.23;EUR
68208981;13.23;EUR
70486122;3.46;EUR
70481620;4.39;EUR
70481621;4.39;EUR
70478287;16.04;EUR
70477887;13.23;EUR
70477890;15.57;EUR
68210003;2.75;EUR
71732939;150.00;RUB
68210029;2.75;EUR
71732957;150.00;RUB
71732959;150.00;RUB
68210013;2.75;EUR
71732955;150.00;RUB
68209953;3.60;EUR
68209997;3.60;EUR
68210001;3.60;EUR
68209999;3.60;EUR
68210067;35.70;EUR
68210083;35.70;EUR
68210086;35.70;EUR
68210085;35.70;EUR
68209951;16.00;EUR
68209941;16.00;EUR
68701667;16.00;EUR
68849533;16.00;EUR
68209801;12.30;EUR
68264104;12.30;EUR
68209803;12.30;EUR
68209799;12.30;EUR
68209812;12.30;EUR
68209797;12.30;EUR
68209704;12.30;EUR
68209829;12.30;EUR
68209728;12.30;EUR
68389060;3.46;EUR
70197910;3.46;EUR
68799171;5.89;EUR
68799172;5.89;EUR
68389288;14.31;EUR
68650622;14.31;EUR
68389051;13.28;EUR
68389003;13.28;EUR
68389033;14.77;EUR
68780060;3.82;EUR
68780146;8.86;EUR
69097491;8.60;EUR
68780717;4.16;EUR
68780720;24.65;EUR
68780545;19.70;EUR
68780546;21.00;EUR
69939204;26.74;EUR
69189105;26.74;EUR
69189113;26.74;EUR
69189111;26.74;EUR
69189112;26.74;EUR
68209542;1.53;EUR
68209556;1.53;EUR
68780831;1.60;EUR
68209559;1.09;EUR
68780833;0.78;EUR
68209621;3.65;EUR
68209702;3.65;EUR
68209521;10.95;EUR
67993705;9.45;EUR
68209502;9.45;EUR
70485625;3.46;EUR
70481404;6.92;EUR
70481522;6.92;EUR
70480029;5.89;EUR
70480028;5.89;EUR
70478289;16.36;EUR
70478290;16.36;EUR
70478288;16.36;EUR
70477879;13.23;EUR
70477881;13.23;EUR
70477877;13.23;EUR
